=== Guidance Debug Log ===
[Step 07] raw_guidance*w=0.001703, ms_guidance=0.000975, w=3.024329
[Step 08] raw_guidance*w=0.001718, ms_guidance=0.001013, w=3.024329
[Step 09] raw_guidance*w=0.001728, ms_guidance=0.000958, w=3.024329
[Step 00] raw_guidance*w=0.001735, ms_guidance=0.001079, w=3.019881
[Step 01] raw_guidance*w=0.001728, ms_guidance=0.001073, w=3.019881
[Step 02] raw_guidance*w=0.001720, ms_guidance=0.001065, w=3.019881
[Step 03] raw_guidance*w=0.001713, ms_guidance=0.001058, w=3.019881
[Step 04] raw_guidance*w=0.001709, ms_guidance=0.001048, w=3.019881
[Step 05] raw_guidance*w=0.001709, ms_guidance=0.001038, w=3.019881
[Step 06] raw_guidance*w=0.001710, ms_guidance=0.001027, w=3.019881
[Step 07] raw_guidance*w=0.001714, ms_guidance=0.001031, w=3.019881
[Step 08] raw_guidance*w=0.001721, ms_guidance=0.001067, w=3.019881
[Step 09] raw_guidance*w=0.001728, ms_guidance=0.001100, w=3.019881
[Step 00] raw_guidance*w=0.001708, ms_guidance=0.000996, w=3.018406
[Step 01] raw_guidance*w=0.001703, ms_guidance=0.000980, w=3.018406
[Step 02] raw_guidance*w=0.001698, ms_guidance=0.000975, w=3.018406
[Step 03] raw_guidance*w=0.001692, ms_guidance=0.000962, w=3.018406
[Step 04] raw_guidance*w=0.001688, ms_guidance=0.000950, w=3.018406
[Step 05] raw_guidance*w=0.001689, ms_guidance=0.000944, w=3.018406
[Step 06] raw_guidance*w=0.001691, ms_guidance=0.000953, w=3.018406
[Step 07] raw_guidance*w=0.001695, ms_guidance=0.000969, w=3.018406
[Step 08] raw_guidance*w=0.001706, ms_guidance=0.001019, w=3.018406
[Step 09] raw_guidance*w=0.001714, ms_guidance=0.000973, w=3.018406
[Step 00] raw_guidance*w=0.001951, ms_guidance=0.001138, w=3.001375
[Step 01] raw_guidance*w=0.001927, ms_guidance=0.001104, w=3.001375
[Step 02] raw_guidance*w=0.001905, ms_guidance=0.001080, w=3.001375
[Step 03] raw_guidance*w=0.001883, ms_guidance=0.001052, w=3.001375
[Step 04] raw_guidance*w=0.001862, ms_guidance=0.001044, w=3.001375
[Step 05] raw_guidance*w=0.001844, ms_guidance=0.001037, w=3.001375
[Step 06] raw_guidance*w=0.001834, ms_guidance=0.001035, w=3.001375
[Step 07] raw_guidance*w=0.001829, ms_guidance=0.001036, w=3.001375
[Step 08] raw_guidance*w=0.001843, ms_guidance=0.001097, w=3.001375
[Step 09] raw_guidance*w=0.001863, ms_guidance=0.001038, w=3.001375
